Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Horowhenua District,Maori,Male,Yes,65+,180,0.3191264562862821
Horowhenua District,Non-Maori,Female,No,18-29,1189,0.2688403996282697
Horowhenua District,Non-Maori,Female,No,30-39,1032,0.19519241531727696
Horowhenua District,Non-Maori,Female,No,40-49,1629,0.15078255575919658
Horowhenua District,Non-Maori,Female,No,50-64,2820,0.1347886145560982
Horowhenua District,Non-Maori,Female,No,65+,3537,0.11885943795707184
Horowhenua District,Non-Maori,Male,No,18-29,1107,0.20839365335142976
Horowhenua District,Non-Maori,Male,No,30-39,909,0.1479540243234069
Horowhenua District,Non-Maori,Male,No,40-49,1416,0.1127855992649209
Horowhenua District,Non-Maori,Male,No,50-64,2583,0.10034585635157277
Horowhenua District,Non-Maori,Male,No,65+,3174,0.08807274818690207
Hurunui District,Maori,Female,Yes,18-29,69,0.6388831472317523
Hurunui District,Maori,Female,Yes,30-39,45,0.538527584490678
Hurunui District,Maori,Female,Yes,40-49,57,0.460720441801309
Hurunui District,Maori,Female,Yes,50-64,60,0.42843669048092586
Hurunui District,Maori,Female,Yes,65+,15,0.3935911580487765
Hurunui District,Maori,Male,Yes,18-29,65,0.5588259187557811
Hurunui District,Maori,Male,Yes,30-39,45,0.4551942488398063
Hurunui District,Maori,Male,Yes,40-49,39,0.3795251614736167
Hurunui District,Maori,Male,Yes,50-64,51,0.3492463111311666
Hurunui District,Maori,Male,Yes,65+,21,0.3172663400737643
Hurunui District,Non-Maori,Female,No,18-29,550,0.29142042995352607
Hurunui District,Non-Maori,Female,No,30-39,591,0.21339204840013487
Hurunui District,Non-Maori,Female,No,40-49,822,0.1656939365966641
Hurunui District,Non-Maori,Female,No,50-64,1251,0.14839469177091993
Hurunui District,Non-Maori,Female,No,65+,969,0.1311012082954673
Hurunui District,Non-Maori,Male,No,18-29,568,0.22747625942286573
Hurunui District,Non-Maori,Male,No,30-39,606,0.16263925397540782
Hurunui District,Non-Maori,Male,No,40-49,744,0.12449018461422044
Hurunui District,Non-Maori,Male,No,50-64,1290,0.1109208768567253
Hurunui District,Non-Maori,Male,No,65+,1029,0.09749452377837549
Invercargill City,Maori,Female,Yes,18-29,713,0.5998335481211153
Invercargill City,Maori,Female,Yes,30-39,498,0.49716704887314056
Invercargill City,Maori,Female,Yes,40-49,444,0.4198982692536525
Invercargill City,Maori,Female,Yes,50-64,441,0.3884147512127409
Invercargill City,Maori,Female,Yes,65+,225,0.3548036663889808
Invercargill City,Maori,Male,Yes,18-29,662,0.5176551830398126
Invercargill City,Maori,Male,Yes,30-39,411,0.41448538545361063
Invercargill City,Maori,Male,Yes,40-49,408,0.34134357430051065
Invercargill City,Maori,Male,Yes,50-64,450,0.3125763216066314
Invercargill City,Maori,Male,Yes,65+,246,0.28249651679804194
Invercargill City,Non-Maori,Female,No,18-29,3320,0.2405249317700139
Invercargill City,Non-Maori,Female,No,30-39,2799,0.1728006247306195
Invercargill City,Non-Maori,Female,No,40-49,3216,0.132645643478932
Invercargill City,Non-Maori,Female,No,50-64,4674,0.11830752065570928
Invercargill City,Non-Maori,Female,No,65+,4407,0.10409173654854412
Invercargill City,Non-Maori,Male,No,18-29,3181,0.1848352659503993
Invercargill City,Non-Maori,Male,No,30-39,2529,0.13010521719770995
Invercargill City,Non-Maori,Male,No,40-49,2958,0.09868802204603964
Invercargill City,Non-Maori,Male,No,50-64,4416,0.08764956692389675
Invercargill City,Non-Maori,Male,No,65+,3423,0.07679676147488297
Kaikoura District,Maori,Female,Yes,18-29,47,0.5905819530171968
Kaikoura District,Maori,Female,Yes,30-39,39,0.48756959325342347
Kaikoura District,Maori,Female,Yes,40-49,45,0.4105744918916969
Kaikoura District,Maori,Female,Yes,50-64,42,0.37933292246862343
Kaikoura District,Maori,Female,Yes,65+,27,0.3460630336860464
Kaikoura District,Maori,Male,Yes,18-29,41,0.5080618402608014
Kaikoura District,Maori,Male,Yes,30-39,21,0.4051978467246535
Kaikoura District,Maori,Male,Yes,40-49,39,0.33276351276395855
Kaikoura District,Maori,Male,Yes,50-64,36,0.30438519237311745
Kaikoura District,Maori,Male,Yes,65+,24,0.2747785551060493
Kaikoura District,Non-Maori,Female,No,18-29,159,0.25855257525143416
Kaikoura District,Non-Maori,Female,No,30-39,165,0.18700209260077472
Kaikoura District,Non-Maori,Female,No,40-49,234,0.14412198232490908
Kaikoura District,Non-Maori,Female,No,50-64,390,0.12872745260876545
Kaikoura District,Non-Maori,Female,No,65+,321,0.11342067765712
Kaikoura District,Non-Maori,Male,No,18-29,160,0.19978691129429083
Kaikoura District,Non-Maori,Male,No,30-39,147,0.14139759275686614
Kaikoura District,Non-Maori,Male,No,40-49,180,0.10759082925704351
Kaikoura District,Non-Maori,Male,No,50-64,399,0.09566226771564798
Kaikoura District,Non-Maori,Male,No,65+,318,0.08390857277406788
Kaipara District,Maori,Female,Yes,18-29,313,0.5948964303220938
Kaipara District,Maori,Female,Yes,30-39,261,0.4920359309229016
Kaipara District,Maori,Female,Yes,40-49,258,0.41490659826112536
Kaipara District,Maori,Female,Yes,50-64,351,0.3835498915551629
Kaipara District,Maori,Female,Yes,65+,165,0.3501187833653404
Kaipara District,Maori,Male,Yes,18-29,297,0.512528142127113
Kaipara District,Maori,Male,Yes,30-39,183,0.4095126369244545
Kaipara District,Maori,Male,Yes,40-49,219,0.3367436592645552
Kaipara District,Maori,Male,Yes,50-64,303,0.30818268462093423
Kaipara District,Maori,Male,Yes,65+,141,0.2783544825711093
Kaipara District,Non-Maori,Female,No,18-29,659,0.25738739611137507
Kaipara District,Non-Maori,Female,No,30-39,681,0.18607843599954255
Kaipara District,Non-Maori,Female,No,40-49,1008,0.14337277223349051
